created_at,entities,public_metrics,source,id,lang,author_id,text,in_reply_to_user_id,geo
2022-07-10T11:16:33.000Z,"{'hashtags': [{'start': 46, 'end': 61, 'tag': 'dhd2022barcamp'}], 'urls': [{'start': 74, 'end': 97, 'url': 'https://t.co/t3daMBzne7', 'expanded_url': 'https://twitter.com/UWuttke/status/1546082280963284993', 'display_url': 'twitter.com/UWuttke/status…'}]}","{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",TweetDeck,1546090998106816513,de,1421172834,Da hat das Handy ein paar Zeichen vom Hashtag #dhd2022barcamp gefressen 👀 https://t.co/t3daMBzne7,,
2022-07-10T06:26:17.000Z,"{'hashtags': [{'start': 23, 'end': 38, 'tag': 'DHd2022Barcamp'}]}","{'retweet_count': 0, 'reply_count': 0, 'like_count': 5, 'quote_count': 0}",Twitter for iPhone,1546017948288024577,de,1455075374602375168,"2022-07-09
🍀 spannende #DHd2022Barcamp Sessions
🍀 viele interessante und motivierende Gespräche
🍀 ganz viel Potsdam 💕
🍀 ruhiges Frühstück 
🍀 geselliger Abend",,
2022-07-10T00:04:49.000Z,"{'hashtags': [{'start': 56, 'end': 71, 'tag': 'dhd2022barcamp'}], 'annotations': [{'start': 129, 'end': 134, 'probability': 0.9539, 'type': 'Person', 'normalized_text': 'Martin'}], 'mentions': [{'start': 3, 'end': 14, 'username': 'kou_tianyi', 'id': '744608441692528642'}, {'start': 103, 'end': 116, 'username': 'dieaxtimhaus', 'id': '1182215111152472065'}, {'start': 117, 'end': 127, 'username': 'danya_sko', 'id': '570590827'}]}","{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android,1545921950890983425,en,1182215111152472065,"RT @kou_tianyi: Had a great discussion session today at #dhd2022barcamp on the topic “Cooking DH” with @dieaxtimhaus @danya_sko, Martin, an…",,
2022-07-09T23:51:06.000Z,"{'hashtags': [{'start': 40, 'end': 55, 'tag': 'dhd2022barcamp'}], 'annotations': [{'start': 113, 'end': 118, 'probability': 0.8994, 'type': 'Person', 'normalized_text': 'Martin'}, {'start': 125, 'end': 129, 'probability': 0.9501, 'type': 'Person', 'normalized_text': 'Felix'}], 'mentions': [{'start': 87, 'end': 100, 'username': 'dieaxtimhaus', 'id': '1182215111152472065'}, {'start': 101, 'end': 111, 'username': 'danya_sko', 'id': '570590827'}, {'start': 168, 'end': 179, 'username': 'unipotsdam', 'id': '237348098'}, {'start': 180, 'end': 190, 'username': 'FHPotsdam', 'id': '531625376'}, {'start': 191, 'end': 205, 'username': 'FontaneArchiv', 'id': '3238784939'}], 'urls': [{'start': 206, 'end': 229, 'url': 'https://t.co/GbjKzrupLe', 'expanded_url': 'https://twitter.com/kou_tianyi/status/1545918500119756800/photo/1', 'display_url': 'pic.twitter.com/GbjKzrupLe', 'media_key': '3_1545918495233384449'}]}","{'retweet_count': 1, 'reply_count': 0, 'like_count': 13, 'quote_count': 0}",Twitter for iPhone,1545918500119756800,en,744608441692528642,"Had a great discussion session today at #dhd2022barcamp on the topic “Cooking DH” with @dieaxtimhaus @danya_sko, Martin, and Felix! Nochmal Danke an alle Organisatoren🎉@unipotsdam @FHPotsdam @FontaneArchiv https://t.co/GbjKzrupLe",,
2022-07-09T23:29:20.000Z,"{'hashtags': [{'start': 54, 'end': 69, 'tag': 'dhd2022barcamp'}], 'mentions': [{'start': 3, 'end': 14, 'username': 'DH_Potsdam', 'id': '1001363060567797760'}, {'start': 24, 'end': 32, 'username': 'dhd2022', 'id': '1540253069497229312'}, {'start': 70, 'end': 81, 'username': 'unipotsdam', 'id': '237348098'}, {'start': 83, 'end': 97, 'username': 'FontaneArchiv', 'id': '3238784939'}, {'start': 102, 'end': 112, 'username': 'FHPotsdam', 'id': '531625376'}, {'start': 131, 'end': 139, 'username': 'DHdInfo', 'id': '533163305'}]}","{'retweet_count': 10, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,1545913018936135681,de,744608441692528642,RT @DH_Potsdam: Mit den @dhd2022-StipendiatInnen beim #dhd2022barcamp @unipotsdam  @FontaneArchiv und @FHPotsdam. Gefördert durch: @DHdInfo…,,
2022-07-09T21:49:09.000Z,"{'hashtags': [{'start': 89, 'end': 104, 'tag': 'DHd2022Barcamp'}], 'mentions': [{'start': 187, 'end': 198, 'username': 'DH_Potsdam', 'id': '1001363060567797760'}, {'start': 199, 'end': 213, 'username': 'FontaneArchiv', 'id': '3238784939'}, {'start': 214, 'end': 224, 'username': 'FHPotsdam', 'id': '531625376'}]}","{'retweet_count': 0, 'reply_count': 0, 'like_count': 13, 'quote_count': 0}",Twitter for iPhone,1545887809776586753,de,61145089,"Völlig müde und entnervt von lauten Menschen in der Bahn, aber überglücklich bin ich vom #DHd2022Barcamp wieder zurück zuhause. Es waren tolle 2 Tage, die viel zu schnell vergingen. 💕 an @DH_Potsdam @FontaneArchiv @FHPotsdam  und alle Stipendiengeber! Und nun gute Nacht 😴",,
2022-07-09T17:55:21.000Z,"{'hashtags': [{'start': 48, 'end': 56, 'tag': 'dhd2022'}, {'start': 127, 'end': 142, 'tag': 'dhd2022barcamp'}], 'urls': [{'start': 143, 'end': 166, 'url': 'https://t.co/wBLdyM5kgz', 'expanded_url': 'https://twitter.com/UWuttke/status/1545828971195076609/photo/1', 'display_url': 'pic.twitter.com/wBLdyM5kgz', 'media_key': '3_1545828958117273600'}]}","{'retweet_count': 0, 'reply_count': 0, 'like_count': 26, 'quote_count': 0}",Twitter for Android,1545828971195076609,de,1421172834,Erinnert Ihr Euch noch an die Postersession der #dhd2022 in Gather? Heute waren wir live da 😁🤓! Haben wir auch getanzt? Tja... #dhd2022barcamp https://t.co/wBLdyM5kgz,,
2022-07-09T14:57:21.000Z,"{'hashtags': [{'start': 22, 'end': 37, 'tag': 'DHd2022Barcamp'}], 'mentions': [{'start': 3, 'end': 16, 'username': 'Guido_Scherp', 'id': '726901323363409920'}]}","{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",OpenSciTalk,1545784177815076865,de,1252313225011449856,"RT @Guido_Scherp: Das #DHd2022Barcamp war ein kleines aber sehr feines Barcamp, mit hoch motivierten Teilnehmenden. Die Moderation hat rich…",,
2022-07-09T14:57:06.000Z,"{'hashtags': [{'start': 4, 'end': 19, 'tag': 'DHd2022Barcamp'}, {'start': 168, 'end': 180, 'tag': 'OpenScience'}], 'urls': [{'start': 191, 'end': 214, 'url': 'https://t.co/EYW6KVisjA', 'expanded_url': 'https://twitter.com/DH_Potsdam/status/1545676135287197697', 'display_url': 'twitter.com/DH_Potsdam/sta…'}]}","{'retweet_count': 1, 'reply_count': 1, 'like_count': 11, 'quote_count': 0}",Twitter for Android,1545784114875359236,de,726901323363409920,"Das #DHd2022Barcamp war ein kleines aber sehr feines Barcamp, mit hoch motivierten Teilnehmenden. Die Moderation hat richtig Spaß gemacht, und ich durfte auch was über #OpenScience erzählen🙂 https://t.co/EYW6KVisjA",,
2022-07-09T14:41:23.000Z,"{'hashtags': [{'start': 49, 'end': 64, 'tag': 'DHd2022Barcamp'}], 'mentions': [{'start': 3, 'end': 10, 'username': 'guhr_s', 'id': '1109726132734214144'}]}","{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Darmstadt-Bot,1545780159013421058,de,1478025287245967365,RT @guhr_s: Schlossparkführung Sanssouci mit dem #DHd2022Barcamp - fast so schön wie Darmstadt! Ich bin begeistert! ✨ https://t.co/Lp0GxiC0…,,
