entities,lang,author_id,source,public_metrics,in_reply_to_user_id,created_at,id,text
"{'hashtags': [{'start': 99, 'end': 107, 'tag': 'DHd2022'}], 'mentions': [{'start': 3, 'end': 11, 'username': 'dhd2022', 'id': '724702270890323968'}]}",de,1421172834,TweetDeck,"{'retweet_count': 7, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,2022-02-19T07:10:13.000Z,1494932316585668612,"RT @dhd2022: Ach schön! Wir freuen uns auch, dass all die Stipendiengeber mitgezogen haben, um ein #DHd2022-Recap-Event für die Stipendiat*…"
"{'mentions': [{'start': 3, 'end': 15, 'username': 'Mareike2405', 'id': '250558059'}]}",de,1421172834,TweetDeck,"{'retweet_count': 4, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,2022-02-19T07:09:35.000Z,1494932158082949121,"RT @Mareike2405: Hier ist ja wahrscheinlich niemand, die/der auch zugleich bei Insta ist - aber falls doch oder wenn Ihr jemanden kennt: di…"
"{'mentions': [{'start': 3, 'end': 16, 'username': 'LBriefarchiv', 'id': '2778343994'}, {'start': 77, 'end': 85, 'username': 'dhd2022', 'id': '724702270890323968'}]}",de,1176226848239476739,Twitter for Android,"{'retweet_count': 9, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,2022-02-18T21:19:29.000Z,1494783655226527750,RT @LBriefarchiv: Heute gibts einen kleinen Spoiler auf unser Poster auf der @dhd2022. Wenn ihr das Poster ganz sehen wollt und euch mit un…
"{'mentions': [{'start': 3, 'end': 16, 'username': 'LBriefarchiv', 'id': '2778343994'}, {'start': 77, 'end': 85, 'username': 'dhd2022', 'id': '724702270890323968'}]}",de,250620142,Twitter for iPhone,"{'retweet_count': 9, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,2022-02-18T21:18:11.000Z,1494783326900699139,RT @LBriefarchiv: Heute gibts einen kleinen Spoiler auf unser Poster auf der @dhd2022. Wenn ihr das Poster ganz sehen wollt und euch mit un…
"{'mentions': [{'start': 3, 'end': 12, 'username': 'msiemund', 'id': '61145089'}, {'start': 14, 'end': 26, 'username': 'Mareike2405', 'id': '250558059'}, {'start': 27, 'end': 35, 'username': 'dhd2022', 'id': '724702270890323968'}]}",de,250558059,Twitter for iPhone,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,2022-02-18T19:17:25.000Z,1494752933312966658,"RT @msiemund: @Mareike2405 @dhd2022 Ich glaube, es sind einige da drüben auf Instagram... Und einige sogar auf TikTok ;) Und vll wird #TikT…"
"{'mentions': [{'start': 3, 'end': 16, 'username': 'LBriefarchiv', 'id': '2778343994'}, {'start': 77, 'end': 85, 'username': 'dhd2022', 'id': '724702270890323968'}]}",de,970596409975156737,Twitter Web App,"{'retweet_count': 9, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,2022-02-18T19:02:26.000Z,1494749165791981573,RT @LBriefarchiv: Heute gibts einen kleinen Spoiler auf unser Poster auf der @dhd2022. Wenn ihr das Poster ganz sehen wollt und euch mit un…
"{'mentions': [{'start': 3, 'end': 16, 'username': 'LBriefarchiv', 'id': '2778343994'}, {'start': 77, 'end': 85, 'username': 'dhd2022', 'id': '724702270890323968'}]}",de,52349626,Twitter for iPhone,"{'retweet_count': 9, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,2022-02-18T18:46:35.000Z,1494745173431144451,RT @LBriefarchiv: Heute gibts einen kleinen Spoiler auf unser Poster auf der @dhd2022. Wenn ihr das Poster ganz sehen wollt und euch mit un…
"{'mentions': [{'start': 3, 'end': 15, 'username': 'Mareike2405', 'id': '250558059'}]}",de,724702270890323968,Twitter for iPhone,"{'retweet_count': 4, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,2022-02-18T18:43:29.000Z,1494744394599223296,"RT @Mareike2405: Hier ist ja wahrscheinlich niemand, die/der auch zugleich bei Insta ist - aber falls doch oder wenn Ihr jemanden kennt: di…"
"{'mentions': [{'start': 3, 'end': 12, 'username': 'msiemund', 'id': '61145089'}, {'start': 14, 'end': 26, 'username': 'Mareike2405', 'id': '250558059'}, {'start': 27, 'end': 35, 'username': 'dhd2022', 'id': '724702270890323968'}]}",de,724702270890323968,Twitter for iPhone,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,2022-02-18T18:41:54.000Z,1494743997251825667,"RT @msiemund: @Mareike2405 @dhd2022 Ich glaube, es sind einige da drüben auf Instagram... Und einige sogar auf TikTok ;) Und vll wird #TikT…"
"{'mentions': [{'start': 3, 'end': 16, 'username': 'LBriefarchiv', 'id': '2778343994'}, {'start': 77, 'end': 85, 'username': 'dhd2022', 'id': '724702270890323968'}]}",de,724702270890323968,Twitter for iPhone,"{'retweet_count': 9, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,2022-02-18T18:41:45.000Z,1494743961080057861,RT @LBriefarchiv: Heute gibts einen kleinen Spoiler auf unser Poster auf der @dhd2022. Wenn ihr das Poster ganz sehen wollt und euch mit un…
